Time (sec),Status,% of Drowsiness,Alert
4,Both eyes closed,18,Driver Awake
4,Both eyes closed,19,Driver Awake
4,Both eyes closed,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,19,Driver Awake
4,Both eyes open,19,Driver Awake
4,Both eyes open,19,Driver Awake
4,"Left eye closed, right eye open",19,Driver Awake
4,Both eyes open,19,Driver Awake
4,Both eyes open,19,Driver Awake
4,Both eyes open,19,Driver Awake
4,"Left eye closed, right eye open",18,Driver Awake
5,"Left eye closed, right eye open",18,Driver Awake
5,"Left eye closed, right eye open",18,Driver Awake
5,Both eyes closed,19,Driver Awake
5,Both eyes closed,20,Driver Awake
5,"Left eye closed, right eye open",20,Driver Awake
5,"Left eye closed, right eye open",20,Driver Awake
5,"Left eye closed, right eye open",20,Driver Awake
5,Both eyes open,20,Driver Awake
5,Both eyes closed,21,Driver Awake
5,Both eyes open,21,Driver Awake
5,"Left eye closed, right eye open",20,Driver Awake
5,Both eyes closed,20,Driver Awake
5,Both eyes open,20,Driver Awake
5,Both eyes closed,21,Driver Awake
5,Both eyes open,21,Driver Awake
5,Both eyes open,20,Driver Awake
5,Both eyes open,20,Driver Awake
5,Both eyes open,20,Driver Awake
5,Both eyes open,20,Driver Awake
5,Both eyes open,19,Driver Awake
5,Both eyes open,18,Driver Awake
5,Both eyes open,17,Driver Awake
5,Both eyes open,16,Driver Awake
5,Both eyes open,15,Driver Awake
5,Both eyes open,14,Driver Awake
5,Both eyes closed,14,Driver Awake
5,Both eyes closed,15,Driver Awake
5,Both eyes closed,16,Driver Awake
5,Both eyes closed,17,Driver Awake
5,Both eyes closed,18,Driver Awake
6,Both eyes closed,19,Driver Awake
6,"Left eye closed, right eye open",19,Driver Awake
6,Both eyes open,19,Driver Awake
6,"Left eye closed, right eye open",19,Driver Awake
6,Both eyes open,19,Driver Awake
6,Both eyes open,19,Driver Awake
6,Both eyes open,19,Driver Awake
6,Both eyes open,19,Driver Awake
6,Both eyes open,19,Driver Awake
6,Both eyes open,19,Driver Awake
6,Both eyes closed,20,Driver Awake
6,"Left eye open, right eye closed",20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes closed,20,Driver Awake
6,Both eyes closed,21,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes closed,21,Driver Awake
7,Both eyes closed,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,"Left eye open, right eye closed",21,Driver Awake
7,Both eyes open,21,Driver Awake
7,Both eyes open,21,Driver Awake
7,Both eyes open,21,Driver Awake
7,Both eyes open,21,Driver Awake
7,Both eyes open,21,Driver Awake
7,"Left eye open, right eye closed",21,Driver Awake
7,Both eyes closed,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,"Left eye open, right eye closed",21,Driver Awake
7,Both eyes open,20,Driver Awake
7,Both eyes open,19,Driver Awake
7,Both eyes open,18,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,16,Driver Awake
8,Both eyes open,15,Driver Awake
