Time Stamp,Sensor Value
2025-03-15T15:30:35.490734+05:30,Sensor Value: 142
2025-03-15T15:30:37.489527+05:30,Sensor Value: 135
2025-03-15T15:30:39.492059+05:30,Sensor Value: 138
2025-03-15T15:30:41.495959+05:30,Sensor Value: 148
2025-03-15T15:30:43.497500+05:30,Sensor Value: 146
2025-03-15T15:30:45.501937+05:30,Sensor Value: 150
2025-03-15T15:30:47.505604+05:30,Sensor Value: 138
2025-03-15T15:30:49.501771+05:30,Sensor Value: 142
2025-03-15T15:30:51.509594+05:30,Sensor Value: 142
2025-03-15T15:30:53.508583+05:30,Sensor Value: 142
2025-03-15T15:30:55.511566+05:30,Sensor Value: 152
2025-03-15T15:30:57.509485+05:30,Sensor Value: 134
2025-03-15T15:30:59.511806+05:30,Sensor Value: 149
2025-03-15T15:31:01.516251+05:30,Sensor Value: 148
2025-03-15T15:31:03.514723+05:30,Sensor Value: 176
2025-03-15T15:31:05.517255+05:30,Sensor Value: 170
2025-03-15T15:31:07.516778+05:30,Sensor Value: 180
2025-03-15T15:31:09.518751+05:30,Sensor Value: 177
2025-03-15T15:31:11.523511+05:30,Sensor Value: 173
2025-03-15T15:31:13.524120+05:30,Sensor Value: 179
2025-03-15T15:31:15.528350+05:30,Sensor Value: 169
2025-03-15T15:31:17.530184+05:30,Sensor Value: 171
2025-03-15T15:31:19.528969+05:30,Sensor Value: 170
2025-03-15T15:31:21.531496+05:30,Sensor Value: 153
2025-03-15T15:31:23.548865+05:30,Sensor Value: 143
2025-03-15T15:31:25.567731+05:30,Sensor Value: 156
2025-03-15T15:31:27.577526+05:30,Sensor Value: 147
2025-03-15T15:31:29.582114+05:30,Sensor Value: 158
2025-03-15T15:31:31.594008+05:30,Sensor Value: 160
2025-03-15T15:31:33.603341+05:30,Sensor Value: 146
2025-03-15T15:31:35.601904+05:30,Sensor Value: 156
2025-03-15T15:31:37.606137+05:30,Sensor Value: 152
2025-03-15T15:31:39.614689+05:30,Sensor Value: 153
2025-03-15T15:31:41.617400+05:30,Sensor Value: 159
2025-03-15T15:31:43.615858+05:30,Sensor Value: 158
2025-03-15T15:31:45.618817+05:30,Sensor Value: 146
2025-03-15T15:31:47.626828+05:30,Sensor Value: 167
2025-03-15T15:31:49.634774+05:30,Sensor Value: 156
2025-03-15T15:31:51.627933+05:30,Sensor Value: 166
2025-03-15T15:31:53.631308+05:30,Sensor Value: 155
2025-03-15T15:31:55.637820+05:30,Sensor Value: 132
2025-03-15T15:31:57.630882+05:30,Sensor Value: 147
2025-03-15T15:31:59.637396+05:30,Sensor Value: 144
2025-03-15T15:32:01.640837+05:30,Sensor Value: 152
2025-03-15T15:32:03.638107+05:30,Sensor Value: 157
2025-03-15T15:32:05.638846+05:30,Sensor Value: 160
2025-03-15T15:32:07.641351+05:30,Sensor Value: 160
2025-03-15T15:32:09.641566+05:30,Sensor Value: 157
2025-03-15T15:32:11.685586+05:30,Sensor Value: 161
2025-03-15T15:32:13.726364+05:30,Sensor Value: 157
2025-03-15T15:32:15.757272+05:30,Sensor Value: 157
2025-03-15T15:32:17.785790+05:30,Sensor Value: 156
