Date,Time,Filename,Visibility (%),Avg Dark Value
17-02-2025,13:50:40,image_20250217_135040.jpg,67.83,82.02
17-02-2025,13:50:43,image_20250217_135043.jpg,68.35,80.71
17-02-2025,13:50:48,image_20250217_135048.jpg,68.38,80.63
17-02-2025,13:50:51,image_20250217_135051.jpg,64.75,89.89
17-02-2025,13:50:55,image_20250217_135055.jpg,67.84,82.01
17-02-2025,13:50:59,image_20250217_135059.jpg,70.98,73.99
17-02-2025,13:51:03,image_20250217_135103.jpg,71.51,72.65
17-02-2025,13:51:06,image_20250217_135106.jpg,70.22,75.93
17-02-2025,13:51:10,image_20250217_135110.jpg,72.21,70.87
17-02-2025,13:51:13,image_20250217_135113.jpg,71.42,72.89
17-02-2025,13:51:16,image_20250217_135116.jpg,76.06,61.04
17-02-2025,13:51:19,image_20250217_135119.jpg,80.4,49.97
17-02-2025,13:51:22,image_20250217_135122.jpg,70.53,75.15
17-02-2025,13:51:25,image_20250217_135125.jpg,74.02,66.25
10-03-2025,06:46:29,image_20250310_064629.jpg,59.69,102.78
10-03-2025,06:46:32,image_20250310_064632.jpg,60.2,101.49
10-03-2025,06:46:34,image_20250310_064634.jpg,59.23,103.95
10-03-2025,06:46:37,image_20250310_064637.jpg,59.51,103.25
10-03-2025,06:46:40,image_20250310_064640.jpg,61.46,98.27
10-03-2025,06:46:43,image_20250310_064643.jpg,59.04,104.45
10-03-2025,06:46:46,image_20250310_064646.jpg,58.31,106.3
10-03-2025,06:46:49,image_20250310_064649.jpg,59.73,102.68
10-03-2025,06:46:52,image_20250310_064652.jpg,62.21,96.36
10-03-2025,06:46:55,image_20250310_064655.jpg,58.81,105.04
10-03-2025,06:46:58,image_20250310_064658.jpg,61.01,99.43
10-03-2025,06:47:01,image_20250310_064701.jpg,60.71,100.2
10-03-2025,06:47:04,image_20250310_064704.jpg,58.72,105.27
10-03-2025,06:47:08,image_20250310_064708.jpg,52.28,121.67
10-03-2025,06:47:11,image_20250310_064711.jpg,60.93,99.64
12-03-2025,16:17:35,image_20250312_161735.jpg,74.85,64.14
12-03-2025,16:17:41,image_20250312_161741.jpg,74.81,64.23
12-03-2025,16:17:46,image_20250312_161746.jpg,69.55,77.65
12-03-2025,16:17:53,image_20250312_161753.jpg,75.15,63.36
12-03-2025,16:17:59,image_20250312_161759.jpg,75.12,63.44
12-03-2025,16:18:05,image_20250312_161805.jpg,75.15,63.38
12-03-2025,16:18:11,image_20250312_161811.jpg,75,63.75
12-03-2025,16:18:17,image_20250312_161817.jpg,75.05,63.62
12-03-2025,16:18:23,image_20250312_161823.jpg,74.62,64.73
12-03-2025,16:18:29,image_20250312_161829.jpg,74.9,64
12-03-2025,16:18:36,image_20250312_161836.jpg,75.22,63.19
12-03-2025,16:18:42,image_20250312_161842.jpg,75.37,62.81
12-03-2025,16:18:47,image_20250312_161847.jpg,75.48,62.53
12-03-2025,16:18:54,image_20250312_161854.jpg,75.48,62.54
12-03-2025,16:19:00,image_20250312_161900.jpg,75.75,61.85
12-03-2025,16:19:06,image_20250312_161906.jpg,75.83,61.64
12-03-2025,16:19:12,image_20250312_161912.jpg,75.39,62.76
12-03-2025,16:19:18,image_20250312_161918.jpg,75.02,63.7
12-03-2025,16:19:24,image_20250312_161924.jpg,75.14,63.4
12-03-2025,16:19:30,image_20250312_161930.jpg,75.09,63.53
12-03-2025,16:19:36,image_20250312_161936.jpg,75.25,63.11
12-03-2025,16:19:42,image_20250312_161942.jpg,75.04,63.64
12-03-2025,16:19:48,image_20250312_161948.jpg,75.11,63.46
12-03-2025,16:20:07,image_20250312_162007.jpg,41.64,148.81
12-03-2025,16:20:13,image_20250312_162013.jpg,40.83,150.89
12-03-2025,16:20:19,image_20250312_162019.jpg,40.09,152.77
13-03-2025,07:12:07,image_20250313_071207.jpg,39.9,153.25
13-03-2025,07:12:13,image_20250313_071213.jpg,39.39,154.56
13-03-2025,07:12:19,image_20250313_071219.jpg,39.1,155.29
13-03-2025,07:12:24,image_20250313_071224.jpg,38.48,156.88
